date,symbol,open,high,low,close,volume,source,fetchedAt,series
2024-01-26,VNFIN,1487.22,1495.24,1486.85,1493.63,164061600,vndirect_dchart_public,2026-06-08T09:01:06.147723+00:00,banking_index
2024-01-29,VNFIN,1495.72,1498.72,1489.81,1489.88,166196500,vndirect_dchart_public,2026-06-08T09:01:06.147727+00:00,banking_index
2024-01-30,VNFIN,1489.16,1495.38,1487.32,1494.53,168639100,vndirect_dchart_public,2026-06-08T09:01:06.147731+00:00,banking_index
2024-01-31,VNFIN,1497.31,1498.78,1468.48,1472.31,451450200,vndirect_dchart_public,2026-06-08T09:01:06.147734+00:00,banking_index
2024-02-01,VNFIN,1470.5,1480.1,1465.63,1472.87,168332100,vndirect_dchart_public,2026-06-08T09:01:06.147738+00:00,banking_index
2024-02-02,VNFIN,1473.56,1479.54,1467.36,1469.83,269130500,vndirect_dchart_public,2026-06-08T09:01:06.147742+00:00,banking_index
2024-02-05,VNFIN,1472.4,1516.14,1472.4,1511.15,326340600,vndirect_dchart_public,2026-06-08T09:01:06.147745+00:00,banking_index
2024-02-06,VNFIN,1514.39,1522.89,1512.03,1515.4,193736500,vndirect_dchart_public,2026-06-08T09:01:06.147749+00:00,banking_index
2024-02-07,VNFIN,1518.07,1540.36,1518.07,1538.13,267920500,vndirect_dchart_public,2026-06-08T09:01:06.147752+00:00,banking_index
2024-02-15,VNFIN,1538.95,1566.13,1538.95,1550.34,350437900,vndirect_dchart_public,2026-06-08T09:01:06.147756+00:00,banking_index
2024-02-16,VNFIN,1556.9,1556.9,1540.56,1548.83,251349000,vndirect_dchart_public,2026-06-08T09:01:06.147759+00:00,banking_index
2024-02-19,VNFIN,1551.39,1552.97,1535.51,1552.11,329001900,vndirect_dchart_public,2026-06-08T09:01:06.147764+00:00,banking_index
2024-02-20,VNFIN,1551.23,1555.86,1542.5,1551.54,292006200,vndirect_dchart_public,2026-06-08T09:01:06.147768+00:00,banking_index
2024-02-21,VNFIN,1552.33,1565.56,1545.29,1559.23,344350200,vndirect_dchart_public,2026-06-08T09:01:06.147772+00:00,banking_index
2024-02-22,VNFIN,1559.25,1560.87,1551.03,1557.26,265513200,vndirect_dchart_public,2026-06-08T09:01:06.147775+00:00,banking_index
2024-02-23,VNFIN,1557.78,1589.64,1538.07,1538.28,565056800,vndirect_dchart_public,2026-06-08T09:01:06.147779+00:00,banking_index
2024-02-26,VNFIN,1539.58,1554.59,1534.32,1551.23,320020400,vndirect_dchart_public,2026-06-08T09:01:06.147782+00:00,banking_index
2024-02-27,VNFIN,1557.33,1563.42,1549.37,1562.98,311051600,vndirect_dchart_public,2026-06-08T09:01:06.147786+00:00,banking_index
2024-02-28,VNFIN,1567.87,1586.46,1560.37,1586.46,324875700,vndirect_dchart_public,2026-06-08T09:01:06.147790+00:00,banking_index
2024-02-29,VNFIN,1589.21,1600.52,1574.91,1585.02,381271100,vndirect_dchart_public,2026-06-08T09:01:06.147794+00:00,banking_index
2024-03-01,VNFIN,1586.78,1587.6,1572.66,1585.5,322364100,vndirect_dchart_public,2026-06-08T09:01:06.147797+00:00,banking_index
2024-03-04,VNFIN,1592.19,1593.59,1574.21,1583.89,314934000,vndirect_dchart_public,2026-06-08T09:01:06.147801+00:00,banking_index
2024-03-05,VNFIN,1584.85,1595.74,1575.47,1595.74,273748100,vndirect_dchart_public,2026-06-08T09:01:06.147805+00:00,banking_index
2024-03-06,VNFIN,1595.54,1609.22,1578.46,1586.31,316608400,vndirect_dchart_public,2026-06-08T09:01:06.147808+00:00,banking_index
2024-03-07,VNFIN,1586.63,1593.31,1582.08,1587.0,343786000,vndirect_dchart_public,2026-06-08T09:01:06.147812+00:00,banking_index
2024-03-08,VNFIN,1588.06,1592.19,1550.97,1550.97,518819700,vndirect_dchart_public,2026-06-08T09:01:06.147815+00:00,banking_index
2024-03-11,VNFIN,1551.34,1554.23,1524.42,1529.94,329723800,vndirect_dchart_public,2026-06-08T09:01:06.147819+00:00,banking_index
2024-03-12,VNFIN,1527.95,1538.5,1524.39,1535.29,266044900,vndirect_dchart_public,2026-06-08T09:01:06.147822+00:00,banking_index
2024-03-13,VNFIN,1539.48,1572.77,1534.75,1572.77,304289300,vndirect_dchart_public,2026-06-08T09:01:06.147826+00:00,banking_index
2024-03-14,VNFIN,1572.95,1576.81,1548.37,1555.19,324665800,vndirect_dchart_public,2026-06-08T09:01:06.147829+00:00,banking_index
2024-03-15,VNFIN,1553.42,1566.07,1538.2,1558.35,312400800,vndirect_dchart_public,2026-06-08T09:01:06.147832+00:00,banking_index
2024-03-18,VNFIN,1557.55,1561.27,1501.82,1523.91,491080600,vndirect_dchart_public,2026-06-08T09:01:06.147837+00:00,banking_index
2024-03-19,VNFIN,1523.5,1529.62,1512.71,1522.0,218826500,vndirect_dchart_public,2026-06-08T09:01:06.147841+00:00,banking_index
