date,category,indicator,value,source_file,sheet,orientation,source,parserVersion
2020-01-21,rates,LSHĐ_VND - Kỳ hạn > 12 tháng - Cao nhất (M),0.075,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-21,rates,LSHĐ_VND - Kỳ hạn > 12 tháng - Thấp nhất (M),0.066,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của các TCKT - % so với cùng kỳ (M),0.1418,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của các TCKT - % so với tháng trước (M),-0.0426,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của các TCKT - % từ đầu năm (M),-0.0426,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của các TCKT - Giá trị (M),3794094.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của cư dân - % so với cùng kỳ (M),0.1222,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của cư dân - % so với tháng trước (M),0.0239,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của cư dân - % từ đầu năm (M),0.0239,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tiền gửi của cư dân - Giá trị (M),4945301.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng phương tiện thanh toán (M2) - % so với cùng kỳ (M),0.1338,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng phương tiện thanh toán (M2) - % so với tháng trước (M),0.0174,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng phương tiện thanh toán (M2) - % từ đầu năm (M),0.0174,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng phương tiện thanh toán (M2) - Giá trị (M),10758024.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng dư nợ tín dụng - % so với cùng kỳ (M),0.1163,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng dư nợ tín dụng - % so với tháng trước (M),0.001,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng dư nợ tín dụng - % từ đầu năm (M),0.001,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-01-31,money_credit,Tổng dư nợ tín dụng - Giá trị (M),8203403.05,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_USD - Cá nhân (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_USD - Tổ chức (M),0.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Cao nhất (M),0.05,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn 1 - 6 tháng - Thấp nhất (M),0.043,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Cao nhất (M),0.07,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn 6 - 12 tháng - Thấp nhất (M),0.053,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn < 1 tháng - Cao nhất (M),0.008,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn < 1 tháng - Thấp nhất (M),0.002,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn > 12 tháng - Cao nhất (M),0.075,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-25,rates,LSHĐ_VND - Kỳ hạn > 12 tháng - Thấp nhất (M),0.066,FiinProX_DE_Du_lieu_vi_mo_20260605 (2).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của các TCKT - % so với cùng kỳ (M),0.1619,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của các TCKT - % so với tháng trước (M),-0.0061,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của các TCKT - % từ đầu năm (M),-0.0484,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của các TCKT - Giá trị (M),3770985.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của cư dân - % so với cùng kỳ (M),0.1056,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của cư dân - % so với tháng trước (M),0.0148,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của cư dân - % từ đầu năm (M),0.0391,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tiền gửi của cư dân - Giá trị (M),5018597.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng phương tiện thanh toán (M2) - % so với cùng kỳ (M),0.1382,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng phương tiện thanh toán (M2) - % so với tháng trước (M),-0.0079,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng phương tiện thanh toán (M2) - % từ đầu năm (M),0.0094,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng phương tiện thanh toán (M2) - Giá trị (M),10672880.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng dư nợ tín dụng - % so với cùng kỳ (M),0.1264,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng dư nợ tín dụng - % so với tháng trước (M),0.0007,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng dư nợ tín dụng - % từ đầu năm (M),0.0017,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-02-28,money_credit,Tổng dư nợ tín dụng - Giá trị (M),8209360.0,FiinProX_DE_Du_lieu_vi_mo_20260605.xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của các TCKT - % so với cùng kỳ (M),0.1662,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của các TCKT - % so với tháng trước (M),0.0169,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của các TCKT - % từ đầu năm (M),-0.0323,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
2020-03-31,money_credit,Tiền gửi của các TCKT - Giá trị (M),3834718.0,FiinProX_DE_Du_lieu_vi_mo_20260605 (1).xlsx,Sheet1,row_table,FiinProX Excel Export,fiinprox_excel_v1
